property_type,society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,dlf the ultima,2.3,sector 81,10994.0,2092.0,Super Built up area 2092(194.35 sq.m.),3,4,3+,6.0,East,New Property,2092.0,,,0,1,0,0,0,0,167.0,697.3333333333334
flat,m3m skycity,1.8,sector 65,13700.0,1314.0,Carpet area: 1310 (121.7 sq.m.),2,2,3,13.0,,New Property,,,1310.0,0,0,0,0,0,1,73.0,657.0
flat,adani brahma samsara vilasa,3.35,sector 63,16470.0,2034.0,Super Built up area 2034(188.96 sq.m.),3,3,3+,3.0,,New Property,2034.0,,,0,0,0,0,0,2,16.0,678.0
flat,central park flower valley,2.3,sector-33 sohna,12777.0,1800.0,Carpet area: 1800 (167.23 sq.m.),4,4,3+,5.0,North-East,New Property,,,1800.0,0,1,0,1,0,1,42.0,450.0
house,,11.0,sector 25,35530.0,3096.0,Plot area 344(287.63 sq.m.),5,5,3+,2.0,,Relatively New,,3096.0,,1,1,1,1,0,1,29.0,619.2
flat,brisk lumbini terrace homes,1.5,sector 109,6616.0,2267.0,Carpet area: 2267 (210.61 sq.m.),3,3,1,4.0,North,New Property,,,2267.0,0,1,0,0,0,1,37.0,755.6666666666666
flat,tulip lemon,0.6,sector 69,11407.0,526.0,Carpet area: 526 (48.87 sq.m.),2,1,1,11.0,,Undefined,,,526.0,0,0,0,0,0,1,0.0,263.0
house,international city by sobha phase 1,6.75,sector 109,10838.0,6228.0,Plot area 692(578.6 sq.m.),4,4,3+,2.0,North-East,New Property,,6228.0,,0,1,0,1,0,1,130.0,1557.0
flat,adani brahma samsara vilasa,3.0,sector 63,16666.0,1800.0,Carpet area: 1800 (167.23 sq.m.),3,3,3,3.0,East,New Property,,,1800.0,0,0,0,0,0,1,24.0,600.0
flat,m3m woodshire,0.9,sector 107,6590.0,1366.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,10.0,,Relatively New,1366.0,,,0,0,0,0,1,2,49.0,683.0
